,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock Movement Label
0,0,0,Ticker,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,FEDERALBNK.NS,,,,,,,,,,,,,,
1,1,1,Date,,,,,,,,,,,,,,,,,,,
47,47,47,2020-03-17,56.06454849243164,61.54598885885915,54.81439632742143,60.63241485305009,15969940,62.382625579833984,74.2013781229655,75.81139353701943,76.08141613006592,78.0691584777832,79.57062390645345,-1.235880320128059,-0.0760696514817005,0.0814751297111593,0.0977701687398315,-0.0222984434660875,Financial Services,9.0,0.0
48,48,48,2020-03-18,52.169837951660156,57.26661401325225,48.275131888954235,56.06454401436607,30069159,59.0937614440918,72.14022852579753,74.41446143702457,74.62931575775147,76.69206710815429,78.47593879699707,-1.322512432572002,-0.0694683297288525,0.0746543638167842,0.0976958384711621,-0.0746543638167843,Financial Services,9.0,0.0
49,49,49,2020-03-19,50.390777587890625,54.7182297356452,47.74622349759616,48.08280164171752,21389327,57.03581848144531,70.04702377319336,72.79229997333728,73.21327724456788,75.22842666625976,77.27867724100749,-1.362085015916826,-0.0341013204874813,-0.0458015545036505,0.0858778600946714,-0.0524809145022991,Financial Services,9.0,0.0
50,50,50,2020-03-20,50.871604919433594,53.70848724336124,50.19844497182684,50.967769054051736,18060337,54.03545227050781,67.74225540161133,71.04107364855315,71.69626522064209,73.78594314575196,76.06218249003092,-1.3513897185343149,0.0095419708637025,0.0018903302691244,0.0557655361654203,-0.0132325282183027,Financial Services,9.0,1.0
51,51,51,2020-03-23,38.562408447265625,45.82291499436389,38.273912348671935,45.82291499436389,14649753,49.61183547973633,64.80599899291992,68.68501582898591,69.41714038848878,71.89725082397462,74.38249015808105,-1.625189704876871,-0.2419659551072213,0.1882793850136996,0.1882793850136996,-0.0074812780168596,Financial Services,9.0,0.0
52,52,52,2020-03-24,36.3505973815918,41.92820164972148,35.86976936419395,41.73587337750366,25428788,45.66904525756836,61.92103068033854,66.22520085384971,67.06829490661622,69.99894195556641,72.6691396077474,-1.6743881916296903,-0.0573566629972942,0.1481482116890602,0.1534391363525218,-0.0132275134944919,Financial Services,9.0,0.0
53,53,53,2020-03-25,36.831424713134766,39.908724700862486,34.33112053659594,35.58127262486535,20730756,42.60136260986328,58.95913009643554,63.85902063470138,64.75551204681396,68.22372512817383,71.01028302510579,-1.6636928942471796,0.0132274946267172,-0.0339425395027847,0.0835509354225523,-0.0678850790055691,Financial Services,9.0,1.0
54,54,54,2020-03-26,40.19721984863281,44.09192589385633,36.110181870765544,37.07183786555784,31119304,40.56265106201172,56.28893203735352,61.47765691656815,62.67593059539795,66.68315200805664,69.45079739888509,-1.5888257277172673,0.0913837887541108,-0.0777511975913746,0.0968899356694188,-0.1016746430041051,Financial Services,9.0,1.0
55,55,55,2020-03-27,42.74561309814453,45.9190773993909,40.96654716538431,42.31286713242303,42304871,38.93745269775391,53.80465469360352,59.37972841764751,60.54105472564697,65.14450271606445,67.97786140441895,-1.5321404649148225,0.0633972513300169,-0.0101237515234116,0.0742407014717521,-0.041619848302923,Financial Services,9.0,1.0
56,56,56,2020-03-30,39.139400482177734,41.83203658622654,38.6585724754395,40.38955256601184,24888132,39.05285110473633,51.2819101969401,57.248900965640416,58.36771202087402,63.34428253173828,66.42318420410156,-1.6123553649883249,-0.0843645079481462,0.0319410125968424,0.0687960487610153,-0.0122850120547243,Financial Services,9.0,0.0
57,57,57,2020-03-31,39.475982666015625,40.774220618340884,39.18748656608566,40.48572084998398,14962115,39.6779281616211,49.24319966634115,55.049745660079154,56.36025505065918,61.590221557617184,64.94543965657552,-1.604868588938699,0.0085995743340819,0.0255785446181591,0.0328867798759799,-0.0073081423297495,Financial Services,9.0,1.0
58,58,58,2020-04-01,39.71638870239258,40.00488474427207,37.84115892753659,39.4759747227553,16801805,40.254920959472656,47.316681671142575,52.91638765837017,54.283077812194826,59.8553938293457,63.56225776672363,-1.5995211099521132,0.0060899316531495,-0.0060532688769558,0.0072639041792363,-0.0472155157133664,Financial Services,9.0,1.0
59,59,59,2020-04-03,38.37007522583008,39.716391402264016,37.985411364890986,39.62022727124247,13676114,39.88949203491211,45.82932052612305,50.7248246042352,52.18907203674316,58.11864288330078,62.21754201253256,-1.6294678747412763,-0.033898184617208,0.0325814332667977,0.0350876605925343,-0.0100251005158348,Financial Services,9.0,0.0
60,60,60,2020-04-07,41.062713623046875,41.54354164282863,38.80281972901665,40.2453037883619,17484894,39.55291213989258,44.17527236938477,48.834411219546666,50.24171905517578,56.34342620849609,60.87923762003581,-1.5695740906059457,0.0701754787127484,-0.0199063764316392,0.0117096016643158,-0.0550351814245866,Financial Services,9.0,1.0
61,61,61,2020-04-08,39.28364562988281,43.61109757450069,38.947067501560895,40.87037947694662,38777640,39.58176116943359,42.74881591796875,47.214779904014186,48.35687294006348,54.61052185058594,59.3838623046875,-1.6091468436554393,-0.0433256313622084,0.0403917157285622,0.1101591228418477,-0.00856789442337,Financial Services,9.0,0.0
62,62,62,2020-04-09,39.37981414794922,40.870380222374024,38.51432227586951,39.6202281492573,34421915,39.56252746582031,41.63650029500325,45.67613019441304,46.82303161621094,53.000709533691406,57.918939208984376,-1.6070077162970693,0.0024480548208909,0.0061050059912637,0.0378510185148355,-0.0219780588305488,Financial Services,9.0,1.0
63,63,63,2020-04-13,39.09131622314453,40.0048864499775,38.177742327885205,39.33173021303244,20457501,39.43751296997071,40.76459884643555,44.53985776399311,45.34688949584961,51.31396484375,56.452413686116536,-1.6134249286675098,-0.007326035712632,0.0061500612697602,0.0233701577510985,-0.0233702515935861,Financial Services,9.0,0.0
64,64,64,2020-04-15,39.81256103515625,42.120533301798,39.42789715650265,39.52406129195274,27800497,39.726010131835935,40.05938440958659,43.16823276720549,44.30349292755127,49.69645965576172,55.05320409138997,-1.5973818977414085,0.0184502565197509,-0.0072464502584687,0.0579709570706519,-0.0096618722496631,Financial Services,9.0,1.0
65,65,65,2020-04-16,40.58188247680664,40.96654266194153,38.99514866639935,39.71639064050696,15769505,39.62984390258789,39.37340291341146,42.110411192241465,43.03891525268555,48.11934402465821,53.55782915751139,-1.5802694728407916,0.0193235858645477,-0.0213270499907027,0.0094786185770148,-0.0390995615177324,Financial Services,9.0,1.0
66,66,66,2020-04-17,44.236175537109375,44.62083940045483,41.59162156478218,43.22643748136065,41148926,40.6203498840332,39.75165405273437,41.487865247224505,42.21669940948486,46.809568328857424,52.278826522827146,-1.4989850939404388,0.0900474013838869,-0.0228260703708815,0.0086956853451936,-0.0597826086956522,Financial Services,9.0,1.0
67,67,67,2020-04-20,44.28425979614258,45.67866178429589,43.563017767969484,45.67866178429589,31414332,41.60123901367187,40.280564880371095,41.07283481798674,41.62768497467041,45.77867309570313,51.10079778035482,-1.497915530261254,0.0010869895159192,0.0314875306615098,0.0314875306615098,-0.0162866452209712,Financial Services,9.0,1.0
68,68,68,2020-04-21,41.68778610229492,42.505195902756036,41.01462983752596,42.31286396921068,20824097,42.12053298950195,40.60432230631511,40.614782634534336,41.10358238220215,44.70161819458008,49.78172620137533,-1.555670271890549,-0.0586319768197598,0.0149942687141486,0.0196078966260124,-0.0161475656950731,Financial Services,9.0,0.0
69,69,69,2020-04-22,42.3609504699707,42.64944656627617,40.38955619871862,42.26478632734451,24273853,42.63021087646485,40.7485710144043,40.16685345298365,40.70209102630615,43.96883651733398,48.518751525878905,-1.540696719791298,0.0161477600663164,-0.0022701129592066,0.0068104254768781,-0.0465380084578032,Financial Services,9.0,1.0
70,70,70,2020-04-23,43.2745246887207,44.236180792914496,42.264786513002605,43.08219273419656,20801057,43.168739318847656,40.78383178710938,40.414859570954974,40.32223701477051,43.06488006591797,47.29424324035645,-1.5203756038531262,0.0215664239969692,-0.0044444613986545,0.0222222222222221,-0.0233333163791231,Financial Services,9.0,1.0
71,71,71,2020-04-24,41.44736862182617,42.50519233327903,41.255040372858566,42.31286041588522,14198424,42.61097793579101,40.937696329752605,40.68311068886205,40.466485023498535,42.295555114746094,46.10980326334636,-1.5610180054341394,-0.0422224410328594,0.0208817066761453,0.0255220957717399,-0.0046403005875341,Financial Services,9.0,0.0
72,72,72,2020-04-27,42.79369354248047,43.034107551146086,41.351209490486745,41.88011957586578,17958378,42.31286468505859,41.15887705485026,40.99691431145919,40.788639831542966,41.76472091674805,45.2010383605957,-1.531070986087972,0.0324827598330409,-0.0213483317514484,0.0056179775280897,-0.0337078651685393,Financial Services,9.0,1.0
73,73,73,2020-04-28,44.95741653442383,46.1594864952373,42.69752647546506,43.466850516700404,25447342,42.966790771484376,41.50827891031901,41.2474509791324,41.19493942260742,41.47622406005859,44.41248029073079,-1.4829421478666722,0.0505617256382759,-0.0331550638943431,0.0267379679144386,-0.0502673470400233,Financial Services,9.0,1.0
74,74,74,2020-04-29,44.71700668334961,45.91907675548266,43.99576464006978,45.91907675548266,22205199,43.43800201416016,41.93140767415365,41.35120853624846,41.42092876434326,41.24927322387696,43.88036410013834,-1.488289711705593,-0.0053475014715344,0.0268817204301075,0.0268817204301075,-0.0161290322580645,Financial Services,9.0,0.0
75,75,75,2020-04-30,46.92881393432617,48.804043942655404,44.813169916427206,45.24591586733805,60287106,44.16885986328125,42.32248102823893,41.7611776653089,41.63008880615234,41.09156158447266,43.24887669881185,-1.439091309805108,0.049462327982703,-0.0358606562983507,0.0399590326521674,-0.0450819835519319,Financial Services,9.0,1.0
