date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-03-02,349.5272827148437,352.8418748524598,330.62003719707985,330.62003719707985,28007.0,360.1246673583984,,-0.7700660818169724,0.0586821044769773,-0.0540937616397432,0.0094830712837949,-0.0540937616397432,Capital Goods,1.0,344.2612670898437,354.2564239501953,357.9647298177084,360.1246673583984,362.3001696777344,368.6259287516276
2020-03-03,354.8960266113281,355.2694973881016,350.1341958489832,354.8026517936363,16824.0,359.8328887939453,,-0.7683582809599351,0.0153600138300631,-0.0002631047143113,0.0010523385689593,-0.0134175375470178,Capital Goods,1.0,344.522705078125,352.8792297363281,357.19288126627606,359.8328887939453,361.2675085449219,366.9530670166016
2020-03-04,354.7559814453125,359.47111058920973,351.0678898221893,355.2228270434803,37788.0,359.51543579101565,,-0.7684028294165492,-0.0003946089995789,0.0013159625843821,0.0132911899742671,-0.0103961365446118,Capital Goods,1.0,346.7729064941406,351.8661804199219,356.4708312988281,359.51543579101565,360.5354968261719,365.4124766031901
2020-03-05,353.36737060546875,364.3801748384305,350.5902345134021,363.9013572630843,52361.0,358.8741226196289,,-0.7688445474101995,-0.0039142704069045,0.0298102981029808,0.0311653116531165,-0.0078590620500932,Capital Goods,1.0,348.53997192382815,350.7469482421875,355.6873291015625,358.8741226196289,359.78902099609377,363.39610290527344
2020-03-06,341.9715270996094,353.0322016894564,331.0065926475708,331.0065926475708,20663.0,357.298876953125,,-0.7724695724963682,-0.0322492806461825,-0.0320638812974763,0.0323438465291445,-0.0320638812974763,Capital Goods,1.0,350.9036376953125,348.4414489746094,354.23436075846354,357.298876953125,358.8257373046875,361.4993906656901
2020-03-09,344.3177185058594,349.4889718760488,331.4375428237935,339.9126200419299,20124.0,355.93897857666013,,-0.7717232475139097,0.0068607799782307,-0.0127937025229054,0.0150188418784535,-0.0374078212935379,Capital Goods,1.0,349.8617248535156,347.0614959716797,352.79152425130206,355.93897857666013,358.0720788574219,360.2270955403646
2020-03-11,329.5701599121094,344.3177366696916,322.1484868491509,344.3177366696916,26058.0,354.093798828125,,-0.7764144553068738,-0.0428312509090322,0.0447479127403862,0.0447479127403862,-0.0225192507262723,Capital Goods,1.0,344.7965515136719,344.6596282958984,350.1850036621093,354.093798828125,356.82562133789065,358.5223490397136
2020-03-12,285.5189208984375,320.8077828577289,274.8412945676663,320.8077828577289,31518.0,350.0904083251953,,-0.7904271825279233,-0.1336627048559844,0.1235955286194292,0.1235955286194292,-0.0373972635409664,Capital Goods,1.0,330.9491394042969,338.86102294921875,344.8938334147135,350.0904083251953,353.8021765136719,355.6044372558593
2020-03-13,286.14141845703125,291.3126725021052,229.06636284440367,245.77709605333715,70965.0,346.14148406982423,,-0.7902291656575775,0.0021802322474284,-0.141064242364324,0.0180723716019828,-0.1994645022744176,Capital Goods,1.0,317.5039489746094,333.02196044921874,339.66594848632815,346.14148406982423,350.600087890625,352.74150899251305
2020-03-16,282.4544677734375,286.1892385981898,263.97209389885467,286.1892385981898,28917.0,342.0759048461914,,-0.7914019870211406,-0.0128850646770223,0.0132225588576917,0.0132225588576917,-0.065434878832959,Capital Goods,1.0,305.600537109375,328.25208740234376,334.16114501953126,342.0759048461914,346.959208984375,349.9548706054687
2020-03-17,296.3880920410156,302.1817732650203,272.9260298277527,273.8357949503946,89087.0,338.5972961425781,,-0.7869696922563653,0.0493305146752168,-0.0760904290564418,0.0195476180709814,-0.0791599353796445,Capital Goods,1.0,296.0146118164063,322.9381683349609,330.0458679199219,338.5972961425781,343.9541052246093,347.7291676839193
2020-03-18,284.8964538574219,311.08778075446537,273.9794191175743,311.08778075446537,56133.0,334.4087203979492,,-0.790625189690608,-0.0387722668088955,0.0919327936252625,0.0919327936252625,-0.0383193072150734,Capital Goods,1.0,287.0798706054687,315.93821105957034,325.46637573242185,334.4087203979492,340.6910131835937,345.2013295491536
2020-03-19,292.0308532714844,301.55930556363893,257.364448844255,284.36977200356233,20384.0,330.7659393310547,,-0.7883557326874976,0.0250420786832009,-0.026233807770989,0.0326282383707468,-0.118708020193339,Capital Goods,1.0,288.38225708007815,309.6656982421875,322.03476765950523,330.7659393310547,337.7487780761719,342.8988566080729
2020-03-20,286.6202087402344,303.761902503225,276.7087076246723,291.0253365830995,57737.0,326.8689651489258,,-0.7900768621631733,-0.0185276468929124,0.0153692158073106,0.0598062985102569,-0.0345806081124758,Capital Goods,1.0,288.47801513671874,302.99098205566406,318.1739786783854,326.8689651489258,334.6087902832031,340.2464090983073
2020-03-23,248.6499786376953,328.75615881999266,229.3057501465352,258.56150899407646,50022.0,321.05013809204104,355.36115325927733,-0.8021552165718252,-0.1324757604128036,0.0398613762634707,0.3221644362134412,-0.0777970245448778,Capital Goods,1.0,281.7171173095703,293.65882720947263,312.7404307047526,321.05013809204104,330.0041473388672,336.08552703857424
2020-03-24,249.0809020996093,263.3496596310412,236.34435200225585,248.5063151791098,17104.0,315.5983207702637,352.93860015869143,-0.8020181395437971,0.0017330524791315,-0.0023068284868736,0.0572856345514827,-0.0511341896949615,Capital Goods,1.0,272.25567932128905,284.13514556884763,306.04400533040365,315.5983207702637,325.3289727783203,332.004367574056
2020-03-25,238.78634643554688,253.7254616176187,233.66299219614083,236.72742195820965,19313.0,309.8581962585449,350.1794393920898,-0.8052928442652159,-0.0413301685407644,-0.0086224547930464,0.062562685869915,-0.0214558089936224,Capital Goods,1.0,263.0336578369141,275.05676422119143,298.3033599853516,309.8581962585449,320.1337078857422,327.7481206258138
2020-03-26,234.5248413085937,251.9538126481057,229.83243494017296,243.9575533375377,29499.0,304.40918960571287,346.77109954833986,-0.8066484317635961,-0.017846519244363,0.0402205240873918,0.0743160990633757,-0.020008142174783,Capital Goods,1.0,251.53245544433597,269.957356262207,290.28795064290364,304.40918960571287,314.91924255371094,323.37939097086587
2020-03-27,242.712646484375,248.98516017273587,232.60959187027973,239.3609231743574,20535.0,299.3182197570801,343.45648895263673,-0.8040438857159422,0.0349123151735023,-0.0138094300341016,0.0258433739618288,-0.0416255797150877,Capital Goods,1.0,242.75094299316407,265.6144790649413,282.9109690348307,299.3182197570801,310.04536071777346,319.29914906819664
2020-03-30,250.9482879638672,258.0826817656385,232.7053494213364,240.3664308837672,11824.0,295.35797424316405,340.4317059326172,-0.8014241229095733,0.0339316537427412,-0.042167480662883,0.0284297368978208,-0.0726960071756199,Capital Goods,1.0,243.21060485839843,262.46386108398434,276.84275309244794,295.35797424316405,305.4822314453125,315.53855692545574
2020-03-31,275.990478515625,282.5023862373141,249.0809233375699,257.1729233068313,17404.0,291.68113403320314,337.8480108642578,-0.7934581861260377,0.0997902426629167,-0.0681819000061204,0.023594682529312,-0.0975017519545755,Capital Goods,1.0,248.5925201416016,260.42409973144527,272.2876037597656,291.68113403320314,302.19716064453127,312.53956400553386
2020-04-01,282.64605712890625,295.7177733222261,270.0531585926655,284.89650596212056,15837.0,288.06863555908205,335.3992944335937,-0.7913410423249925,0.0241152471964877,0.0079620740373107,0.0462476509529312,-0.0445535970469862,Capital Goods,1.0,257.3644622802734,260.1990600585937,269.15933024088537,288.06863555908205,299.3594494628906,309.6721669514974
2020-04-03,280.6828918457031,287.2905690898276,273.8836758656356,287.14692965022425,24279.0,284.36498107910154,332.9934783935547,-0.7919655264534597,-0.0069456666162082,0.0230296822225792,0.0235414321146327,-0.0242238347173834,Capital Goods,1.0,266.5960723876953,259.0642639160156,268.8369283040364,284.36498107910154,296.8465661621093,306.865380859375
2020-04-07,283.50787353515625,292.07871978934884,277.714192586594,291.1210846424985,16431.0,280.87200622558595,330.38646423339844,-0.7910668979765971,0.0100646735925967,0.0268536143720119,0.0302314223140252,-0.0204356968161726,Capital Goods,1.0,274.75511779785154,258.7530303955078,268.6613586425781,280.87200622558595,294.4055993652344,304.1636535644531
2020-04-08,283.3163757324219,287.6257340710856,278.28879100398086,284.3697802823699,6051.0,277.9392486572266,328.07533386230466,-0.7911278135497622,-0.0006754584990763,0.0037181209424439,0.0152104103672909,-0.0177454787618394,Capital Goods,1.0,281.2287353515625,262.2196701049804,268.71881917317705,277.9392486572266,292.53212646484377,301.4399820963542
2020-04-09,286.4765319824219,298.7821487619493,277.3789986066574,298.7821487619493,7448.0,275.0471893310547,326.15513305664064,-0.7901225658314539,0.011154160227521,0.0429550605572204,0.0429550605572204,-0.0317566444720949,Capital Goods,1.0,283.32594604492186,265.95923309326173,268.0580485026041,275.0471893310547,290.01009643554687,299.051958211263
2020-04-13,288.6312255859375,292.078717937684,275.79892054443604,287.19477287476855,9912.0,273.00024261474607,324.3135064697266,-0.7894371564221605,0.0075213616578122,-0.0049767751505502,0.0119442806118703,-0.044459171094365,Capital Goods,1.0,284.5229797363281,270.9437210083008,268.3070332845052,273.00024261474607,287.35950439453126,296.88670450846354
2020-04-15,278.5760498046875,292.0308407388821,276.7565489265817,288.63121853731417,20398.0,272.6530990600586,322.42390197753906,-0.7926357142502077,-0.0348374496239533,0.0360948787222608,0.0482984482823554,-0.0065314332634894,Capital Goods,1.0,284.101611328125,275.34884185791014,267.4100463867187,272.6530990600586,284.31230712890624,294.722407023112
2020-04-16,288.0566711425781,289.20584513099527,278.8633961340749,286.0935305724664,9517.0,272.7488616943359,320.7444500732422,-0.7896199225569777,0.0340324351089678,-0.0068151192691526,0.0039894024459108,-0.0319148137484129,Capital Goods,1.0,285.01137084960936,279.8832443237305,267.5058105468749,272.7488616943359,281.69987915039064,292.8398946126302
2020-04-17,301.12841796875,314.87046051393685,290.1634825965863,290.1634825965863,18457.0,273.68255920410155,319.44594604492187,-0.7854617915559197,0.0453790803536079,-0.0364128216331333,0.0456351567144783,-0.0364128216331333,Capital Goods,1.0,288.573779296875,284.9012573242188,271.0043731689453,273.68255920410155,280.06615478515624,291.872401936849
2020-04-20,310.7047424316406,315.78019714006706,301.6550783900565,304.5758539671254,16248.0,274.3983917236328,318.3968572998047,-0.7824155566375988,0.0318014637326073,-0.0197257641339789,0.0163352984853235,-0.0291262501201609,Capital Goods,1.0,293.41942138671874,288.3726837158203,275.1126291910807,274.3983917236328,278.7216357421875,290.5783172607422
2020-04-21,288.4397277832031,310.17802882513354,287.2905538778093,305.4856222900706,14309.0,274.5755554199219,316.9510198974609,-0.7894980719953255,-0.0716597193663245,0.0590969026280578,0.0753651419969074,-0.0039841041115443,Capital Goods,1.0,293.38112182617186,288.95205078125,278.4228546142578,274.5755554199219,277.07641845703125,288.3631072998047
2020-04-22,282.933349609375,288.6791611765334,276.2777728541996,278.0972740055247,12832.0,274.1206802368164,315.3875860595703,-0.7912496544037533,-0.0190902210875986,-0.0170926319238333,0.0203080038994738,-0.0235234791669637,Capital Goods,1.0,294.25258178710936,289.1770965576172,281.6500885009765,274.1206802368164,276.9729956054687,285.9690195719401
2020-04-23,282.9811706542969,293.75456547616096,281.54471801138163,288.96638999977694,13544.0,273.9387283325196,313.7233367919922,-0.7912344424988689,0.0001690187635635,0.0211505922165819,0.0380710659898477,-0.0050761421319798,Capital Goods,1.0,293.23748168945315,289.1244262695312,284.3346567789713,273.9387283325196,276.8465856933594,283.62281290690106
2020-04-24,283.5557861328125,289.4931067870624,281.5926164548269,287.19478817171705,4295.0,275.6840187072754,311.9249237060547,-0.7910516569487296,0.0020305784910954,0.0128334607046252,0.0209388097320255,-0.0069233984069225,Capital Goods,1.0,289.72295532226565,289.1483673095703,286.50848999023435,275.6840187072754,276.8906384277344,281.6756215413412
2020-04-27,281.7362976074219,289.2058407447201,279.6294884021798,289.2058407447201,7661.0,277.316788482666,310.1293359375,-0.7916304374089164,-0.0064166862902187,0.0265125338862317,0.0265125338862317,-0.007477947368279,Capital Goods,1.0,283.92926635742185,288.6743438720703,286.8915445963541,277.316788482666,276.3045666503906,279.5895741780599
2020-04-28,287.48211669921875,290.06771436600974,279.6294958785006,287.2427078842543,10122.0,279.75157699584963,308.5495031738281,-0.7898026886917949,0.0203943160345041,-0.0008327781140381,0.0089939426371212,-0.027315162803445,Capital Goods,1.0,283.737744140625,288.55943298339844,287.2139485677083,279.75157699584963,276.4079931640625,278.1866394042969
2020-04-29,299.35675048828125,301.3677901264117,286.57231552949315,288.3918164498187,16847.0,282.993172454834,307.22490356445314,-0.786025360111222,0.0413056433749806,-0.0366283172855719,0.0067178696817433,-0.042706352664289,Capital Goods,1.0,287.0224243164063,290.6375030517578,288.4588724772136,282.993172454834,276.7010290527344,278.647900390625
2020-04-30,298.5427551269531,306.347475679076,295.2389022015041,301.6550693343712,13648.0,285.78467788696287,305.89336059570314,-0.7862842925547329,-0.0027191481735434,0.0104250200481152,0.0261427230039594,-0.0110665988998596,Capital Goods,1.0,290.1347412109375,291.6861114501953,289.46119791666666,285.78467788696287,277.1779309082031,279.0612782796224
2020-05-04,281.92779541015625,298.3033630807164,263.97213551364445,298.3033630807164,9955.0,287.33365325927736,304.25659545898435,-0.7915695218357512,-0.0556535351518796,0.0580842610666909,0.0580842610666909,-0.0636888600160527,Capital Goods,1.0,289.80914306640625,289.76604919433595,289.3686258951823,287.33365325927736,278.5090435791016,279.04372253417966
2020-05-05,319.6585693359375,338.2845828261546,276.70866054371646,287.1947468502152,206990.0,289.51705780029295,303.3305615234375,-0.7795673385896236,0.1338313374560656,-0.1015578044823356,0.058268462906879,-0.1343618251231171,Capital Goods,1.0,297.3935974121094,290.66143188476565,291.58076171875,289.51705780029295,281.3321502685547,279.8194051106771
2020-05-06,301.2720031738281,320.7119836828546,299.26096365313833,311.1356328459541,155806.0,290.44835510253904,301.9826422119141,-0.7854161170106222,-0.0575193907684247,0.0327399478485057,0.0645263426545812,-0.0066751623101515,Capital Goods,1.0,300.1515747070313,291.9446594238281,292.42348022460936,290.44835510253904,283.8315765380859,280.36525675455727
2020-05-07,291.98297119140625,301.6072226364154,290.16347012795467,296.86691663256084,26623.0,291.0133590698242,300.5245721435547,-0.7883709640077041,-0.0308327089293533,0.0167268160236404,0.0329616874769729,-0.0062315314349576,Capital Goods,1.0,298.67681884765625,292.84962158203126,293.317274983724,291.0133590698242,286.1299017333984,280.36366068522136
2020-05-08,281.8799133300781,295.9092624865206,280.20405181114154,295.33467554937266,21055.0,290.9319610595703,298.8709765625,-0.7915847531559578,-0.0346015311102001,0.0477322490288236,0.049770659394287,-0.0059453030871844,Capital Goods,1.0,295.34425048828126,292.7394958496094,292.9054911295573,290.9319610595703,287.69659240722655,280.2056508382162
2020-05-11,278.1451416015625,285.3752753096255,275.4158755732911,285.3752753096255,19368.0,290.6733993530273,297.13334899902344,-0.7927727864244054,-0.0132495135406908,0.02599410389278,0.02599410389278,-0.0098123807324344,Capital Goods,1.0,294.5877197265625,292.19843139648435,291.37327270507814,290.6733993530273,288.7844665527344,281.1888229370117
2020-05-12,273.26123046875,278.1930462702515,268.3772847409225,278.1451761965775,15683.0,290.0126342773437,295.4362286376953,-0.7943263616701484,-0.0175588583165281,0.0178728088117352,0.0180479894386829,-0.0178728088117352,Capital Goods,1.0,285.308251953125,291.3509246826172,288.8770385742188,290.0126342773437,288.6752966308593,281.99483388264974
2020-05-13,290.5465087890625,294.47281888581466,273.0217966233015,279.62947354360284,39243.0,290.1083984375,294.1753820800781,-0.7888279036138997,0.0632555093551378,-0.0375741401642015,0.0135135339024248,-0.0603163749542211,Capital Goods,1.0,283.16315307617185,291.6573638916016,289.017490641276,290.1083984375,288.99131469726564,283.72017262776694
2020-05-14,287.29052734375,291.8871640913685,282.5023518880208,282.5023518880208,14173.0,290.54412231445315,293.05109313964846,-0.7898636333879431,-0.0112064036111903,-0.0166666666666667,0.0159999593098958,-0.0166666666666667,Capital Goods,1.0,282.22466430664065,290.45074157714845,289.30796915690104,290.54412231445315,289.2556201171875,285.4790288289388
2020-05-15,281.6883544921875,289.87615200621224,279.62944490376145,285.901943022509,8802.0,290.2257064819336,291.7942193603516,-0.7916456881444449,-0.0195000263439224,0.0149583341417061,0.0290668655038481,-0.0073091753904336,Capital Goods,1.0,282.1863525390625,288.7653015136719,289.22178141276044,290.2257064819336,289.1828393554688,286.7782190958659
2020-05-18,282.59814453125,287.2426809510086,273.9794280006612,287.2426809510086,19094.0,289.29919281005857,290.84311828613284,-0.79135628335286,0.0032297751204611,0.0164351270864235,0.0164351270864235,-0.0304981355942194,Capital Goods,1.0,283.076953125,288.83233642578125,289.15793863932294,289.29919281005857,289.1541101074219,287.8332143147787
2020-05-19,282.933349609375,288.96644006500776,280.5871315295684,282.59817142301563,5234.0,287.91062316894534,289.51123962402346,-0.7912496544037533,0.0011861545612092,-0.0011846542191725,0.0213233627777078,-0.0082924762423582,Capital Goods,1.0,285.011376953125,285.159814453125,289.2377421061198,287.91062316894534,289.0123828125,288.0646433512369
2020-05-20,282.83758544921875,286.045669478262,280.5392666249537,280.87441559277886,2538.0,287.6305160522461,288.07007080078125,-0.7912801170441663,-0.0003384689725988,-0.0069409794081004,0.0113424954605942,-0.0081259314267398,Capital Goods,1.0,283.46959228515624,283.3163726806641,288.9281066894531,287.6305160522461,288.78063720703125,288.07102762858074
